# Wavelength_nm	Intensity_rel_units
1058.0	488.65
1060.0	458.46
1062.0	442.65
1064.0	390.49
1066.0	497.33
1068.0	519.93
1070.0	600.60
1072.0	603.74
1074.0	546.65
1076.0	381.00
1078.0	334.60
1080.0	301.63
1082.0	384.15
1084.0	385.10
1086.0	244.92
1088.0	232.82
1090.0	160.12
1092.0	270.09
1094.0	356.69
1096.0	445.42
1098.0	335.45
1100.0	88.72
1102.0	177.41
1104.0	250.11
1106.0	366.59
1108.0	335.09
1110.0	322.38
1112.0	240.88
1114.0	94.98
1116.0	34.99
1118.0	0.00
1120.0	44.40
1122.0	77.46
1124.0	157.05
1126.0	145.32
1128.0	166.94
1130.0	192.97
1132.0	160.30
1134.0	117.07
1136.0	11.46
1138.0	125.56
1140.0	148.13
1142.0	218.63
1144.0	262.02
1146.0	345.26
1148.0	295.15
1150.0	227.94
1152.0	110.67
1154.0	148.62
1156.0	90.89
1158.0	90.89
1160.0	163.50
1162.0	130.95
1164.0	205.29
1166.0	74.34
1168.0	173.01
1170.0	223.23
1172.0	223.23
1174.0	124.56
1176.0	1.76
1178.0	84.87
1180.0	84.87
1182.0	83.11
1184.0	51.29
1186.0	51.29
1188.0	51.29
1190.0	0.00
1192.0	33.23
1194.0	33.23
1196.0	33.23
1198.0	0.00
1200.0	0.00
